name,winery,year,rating,num_ratings,price,type,region
Pomerol 2012,Château Latour à Pomerol,2012,4.3,139,101.74,Red,Pomerol
Mercurey 1er Cru Clos du Roy 2017,Faiveley,2017,4.0,139,33.9,Red,Mercurey
Vinha Grande Douro 2017,Casa Ferreirinha,2017,4.0,1392,12.63,Red,Douro
Sapaio Bolgheri Volpolo 2015,Podere Sapaio,2015,3.9,1393,23.37,Red,Bolgheri
Saint-Julien 2008,Château Gloria,2008,3.8,1395,54.95,Red,Saint-Julien
Romántica Crianza 2017,Bodega de Bardos,2017,3.9,140,10.89,Red,Ribera del Duero
Cabernet Sauvignon 2019,Domaine Bousquet,2019,3.7,140,7.27,Red,Tupungato
Lapa Cabernet Sauvignon 2012,Guardian Peak,2012,3.9,140,29.0,Red,Stellenbosch
Santa Cecilia Nero d'Avola 2016,Planeta,2016,4.0,140,21.0,Red,Terre Siciliane
Rully Red 2017,Joseph Drouhin,2017,3.7,140,22.78,Red,Rully
Merlot 2016,Spellbound,2016,3.9,140,14.49,Red,California
Éo Noir 2014,Staatskellerei Zürich,2014,3.9,140,70.19,Red,Zürich
